Architecture,mean,std,min,max,count,mean ± std
RT-DETR-L,96.22999999999999,0.5825375524376034,95.72,97.21,5,96.23 ± 0.5825
YOLO11-L,98.65599999999999,0.25764316408552435,98.21,98.88,5,98.656 ± 0.2576
