Architecture,mean,std,min,max,count,mean ± std
RT-DETR-L,99.41799999999999,0.2183346055942515,99.16,99.64,5,99.418 ± 0.2183
YOLO11-L,99.386,0.09710818709048126,99.25,99.51,5,99.386 ± 0.0971
