Architecture,mean,std,min,max,count,mean ± std
RT-DETR-L,54.3,1.1839130035606507,52.87,55.94,5,54.3 ± 1.1839
YOLO11-L,58.232000000000006,1.3686745412989871,55.84,59.24,5,58.232 ± 1.3687
