Architecture,mean,std,min,max,count,mean ± std
RT-DETR-L,92.998,0.2227554713132741,92.79,93.3,5,92.998 ± 0.2228
YOLO11-L,93.75,0.2752271788904583,93.34,94.03,5,93.75 ± 0.2752
