Architecture,mean,std,min,max,count,mean ± std
RT-DETR-L,97.898,0.3361844731691195,97.56,98.44,5,97.898 ± 0.3362
YOLO11-L,99.092,0.1465264481245576,98.84,99.21,5,99.092 ± 0.1465
