Architecture,mean,std,min,max,count,mean ± std
RT-DETR-L,99.622,0.2203860249652862,99.32,99.85,5,99.622 ± 0.2204
YOLO11-L,99.532,0.06340346993659375,99.47,99.62,5,99.532 ± 0.0634
