Metric,F-statistic,p-value,Significant at 0.05,Number of architectures,Architectures
mAP@50,0.08966725043780686,0.772232752264556,False,2,"RT-DETR-L, YOLO11-L"
mAP@50_95,22.553401930286697,0.0014470295340555152,True,2,"RT-DETR-L, YOLO11-L"
mAP@95,23.6045827073639,0.0012582687201489412,True,2,"RT-DETR-L, YOLO11-L"
Precision,72.52946540803036,2.77607101063115e-05,True,2,"RT-DETR-L, YOLO11-L"
Recall,0.7701083856245973,0.4057655993771126,False,2,"RT-DETR-L, YOLO11-L"
F1,53.001561454383726,8.550934225333464e-05,True,2,"RT-DETR-L, YOLO11-L"
