Architecture,mean,std,min,max,count,mean ± std
ConvNeXtBase,99.952,0.03346640106136454,99.92,100.0,5,99.952 ± 0.0335
DenseNet169,99.98400000000001,0.008944271909997577,99.98,100.0,5,99.984 ± 0.0089
EfficientNetB0,99.98400000000001,0.016733200530688587,99.96,100.0,5,99.984 ± 0.0167
MobileNetV2,99.90799999999999,0.026832815729997874,99.88,99.94,5,99.908 ± 0.0268
NASNetMobile,99.652,0.12537942414926465,99.48,99.79,5,99.652 ± 0.1254
ResNet50,100.0,0.0,100.0,100.0,5,100.0 ± 0.0
VGG19,99.89,0.03316624790355865,99.85,99.92,5,99.89 ± 0.0332
