architecture,precision,recall,f1 score,Balance Accuracy,Specificity,MCC,Cohen's Kappa,Test Loss,Test Accuracy,Architecture,Round
binaryFecal-ConvNeXtBase-round1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0002,100.0,ConvNeXtBase,1
binaryFecal-ConvNeXtBase-round2,100.0,99.92,99.92,99.96,100.0,99.92,99.92,0.0005,99.96,ConvNeXtBase,2
binaryFecal-ConvNeXtBase-round3,100.0,99.85,99.92,99.92,100.0,99.85,99.85,0.0008,99.92,ConvNeXtBase,3
binaryFecal-ConvNeXtBase-round4,100.0,99.92,99.96,99.96,100.0,99.92,99.92,0.0012,99.96,ConvNeXtBase,4
binaryFecal-ConvNeXtBase-round5,100.0,99.92,99.96,99.96,100.0,99.92,99.92,0.0006,99.96,ConvNeXtBase,5
binaryFecal-DenseNet169-round1,99.96,100.0,99.98,99.98,99.96,99.96,99.96,0.0004,99.98,DenseNet169,1
binaryFecal-DenseNet169-round2,100.0,99.96,99.98,99.98,100.0,99.96,99.96,0.0002,99.98,DenseNet169,2
binaryFecal-DenseNet169-round3,100.0,99.96,99.98,99.98,100.0,99.96,99.96,0.0004,99.98,DenseNet169,3
binaryFecal-DenseNet169-round4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0002,100.0,DenseNet169,4
binaryFecal-DenseNet169-round5,100.0,99.96,99.98,99.98,100.0,99.96,99.96,0.0005,99.98,DenseNet169,5
binaryFecal-EfficientNetB0-round1,99.96,100.0,99.98,99.98,99.96,99.96,99.96,0.0005,99.98,EfficientNetB0,1
binaryFecal-EfficientNetB0-round2,99.92,100.0,99.96,99.96,99.92,99.92,99.92,0.001,99.96,EfficientNetB0,2
binaryFecal-EfficientNetB0-round3,99.96,100.0,99.98,99.98,99.96,99.96,99.96,0.0011,99.98,EfficientNetB0,3
binaryFecal-EfficientNetB0-round4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0005,100.0,EfficientNetB0,4
binaryFecal-EfficientNetB0-round5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0007,100.0,EfficientNetB0,5
binaryFecal-MobileNetV2-round1,100.0,99.85,99.92,99.92,100.0,99.82,99.85,0.0026,99.92,MobileNetV2,1
binaryFecal-MobileNetV2-round2,100.0,99.85,99.92,99.92,100.0,99.85,99.85,0.0017,99.92,MobileNetV2,2
binaryFecal-MobileNetV2-round3,100.0,99.77,99.88,99.88,100.0,99.77,99.77,0.0044,99.88,MobileNetV2,3
binaryFecal-MobileNetV2-round4,100.0,99.88,99.94,99.94,100.0,99.88,99.88,0.0015,99.94,MobileNetV2,4
binaryFecal-MobileNetV2-round5,100.0,99.77,99.88,99.88,100.0,99.77,99.77,0.0031,99.88,MobileNetV2,5
binaryFecal-NASNetMobile-round1,99.85,99.73,99.79,99.79,99.85,99.58,99.57,0.0075,99.79,NASNetMobile,1
binaryFecal-NASNetMobile-round2,99.85,99.61,99.73,99.73,99.85,99.46,99.46,0.0093,99.73,NASNetMobile,2
binaryFecal-NASNetMobile-round3,99.88,99.27,99.57,99.57,99.88,99.15,99.15,0.0139,99.57,NASNetMobile,3
binaryFecal-NASNetMobile-round4,99.88,99.07,99.48,99.48,99.88,98.96,98.96,0.0159,99.48,NASNetMobile,4
binaryFecal-NASNetMobile-round5,99.84,99.54,99.69,99.69,99.85,99.38,99.38,0.0094,99.69,NASNetMobile,5
binaryFecal-ResNet50-round1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,100.0,ResNet50,1
binaryFecal-ResNet50-round2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1e-05,100.0,ResNet50,2
binaryFecal-ResNet50-round3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0002,100.0,ResNet50,3
binaryFecal-ResNet50-round4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0002,100.0,ResNet50,4
binaryFecal-ResNet50-round5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,100.0,ResNet50,5
binaryFecal-VGG19-round1,99.88,99.96,99.92,99.92,99.88,99.85,99.85,0.0036,99.92,VGG19,1
binaryFecal-VGG19-round2,99.92,99.92,99.92,99.92,99.92,99.85,99.85,0.0035,99.92,VGG19,2
binaryFecal-VGG19-round3,99.88,99.85,99.86,99.86,99.88,99.73,99.73,0.0047,99.86,VGG19,3
binaryFecal-VGG19-round4,99.88,99.92,99.9,99.9,99.88,99.81,99.81,0.0033,99.9,VGG19,4
binaryFecal-VGG19-round5,99.92,99.77,99.85,99.85,99.92,99.69,99.69,0.0051,99.85,VGG19,5
