Architecture,mean,std,min,max,count,mean ± std
ConvNeXtBase,99.922,0.05310367218941144,99.85,100.0,5,99.922 ± 0.0531
DenseNet169,99.976,0.021908902300207044,99.96,100.0,5,99.976 ± 0.0219
EfficientNetB0,100.0,0.0,100.0,100.0,5,100.0 ± 0.0
MobileNetV2,99.824,0.05079370039680064,99.77,99.88,5,99.824 ± 0.0508
NASNetMobile,99.444,0.268663358126859,99.07,99.73,5,99.444 ± 0.2687
ResNet50,100.0,0.0,100.0,100.0,5,100.0 ± 0.0
VGG19,99.88399999999999,0.07503332592921731,99.77,99.96,5,99.884 ± 0.075
