group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,0.032,0.9563,-0.0726,0.1366,False
ConvNeXtBase,EfficientNetB0,0.032,0.9563,-0.0726,0.1366,False
ConvNeXtBase,MobileNetV2,-0.044,0.83,-0.1486,0.0606,False
ConvNeXtBase,NASNetMobile,-0.3,0.0,-0.4046,-0.1954,True
ConvNeXtBase,ResNet50,0.048,0.7672,-0.0566,0.1526,False
ConvNeXtBase,VGG19,-0.062,0.5087,-0.1666,0.0426,False
DenseNet169,EfficientNetB0,0.0,1.0,-0.1046,0.1046,False
DenseNet169,MobileNetV2,-0.076,0.2766,-0.1806,0.0286,False
DenseNet169,NASNetMobile,-0.332,0.0,-0.4366,-0.2274,True
DenseNet169,ResNet50,0.016,0.9989,-0.0886,0.1206,False
DenseNet169,VGG19,-0.094,0.0999,-0.1986,0.0106,False
EfficientNetB0,MobileNetV2,-0.076,0.2766,-0.1806,0.0286,False
EfficientNetB0,NASNetMobile,-0.332,0.0,-0.4366,-0.2274,True
EfficientNetB0,ResNet50,0.016,0.9989,-0.0886,0.1206,False
EfficientNetB0,VGG19,-0.094,0.0999,-0.1986,0.0106,False
MobileNetV2,NASNetMobile,-0.256,0.0,-0.3606,-0.1514,True
MobileNetV2,ResNet50,0.092,0.1131,-0.0126,0.1966,False
MobileNetV2,VGG19,-0.018,0.9978,-0.1226,0.0866,False
NASNetMobile,ResNet50,0.348,0.0,0.2434,0.4526,True
NASNetMobile,VGG19,0.238,0.0,0.1334,0.3426,True
ResNet50,VGG19,-0.11,0.0343,-0.2146,-0.0054,True
