group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,-0.032,0.9792,-0.1538,0.0898,False
ConvNeXtBase,EfficientNetB0,0.0,1.0,-0.1218,0.1218,False
ConvNeXtBase,MobileNetV2,-0.38,0.0,-0.5018,-0.2582,True
ConvNeXtBase,NASNetMobile,-0.238,0.0,-0.3598,-0.1162,True
ConvNeXtBase,ResNet50,0.0,1.0,-0.1218,0.1218,False
ConvNeXtBase,VGG19,-0.032,0.9792,-0.1538,0.0898,False
DenseNet169,EfficientNetB0,0.032,0.9792,-0.0898,0.1538,False
DenseNet169,MobileNetV2,-0.348,0.0,-0.4698,-0.2262,True
DenseNet169,NASNetMobile,-0.206,0.0002,-0.3278,-0.0842,True
DenseNet169,ResNet50,0.032,0.9792,-0.0898,0.1538,False
DenseNet169,VGG19,0.0,1.0,-0.1218,0.1218,False
EfficientNetB0,MobileNetV2,-0.38,0.0,-0.5018,-0.2582,True
EfficientNetB0,NASNetMobile,-0.238,0.0,-0.3598,-0.1162,True
EfficientNetB0,ResNet50,0.0,1.0,-0.1218,0.1218,False
EfficientNetB0,VGG19,-0.032,0.9792,-0.1538,0.0898,False
MobileNetV2,NASNetMobile,0.142,0.0145,0.0202,0.2638,True
MobileNetV2,ResNet50,0.38,0.0,0.2582,0.5018,True
MobileNetV2,VGG19,0.348,0.0,0.2262,0.4698,True
NASNetMobile,ResNet50,0.238,0.0,0.1162,0.3598,True
NASNetMobile,VGG19,0.206,0.0002,0.0842,0.3278,True
ResNet50,VGG19,-0.032,0.9792,-0.1538,0.0898,False
