Architecture,mean,std,min,max,count,mean ± std
ConvNeXtBase,99.96,0.0,99.96,99.96,5,99.96 ± 0.0
DenseNet169,99.984,0.021908902300213206,99.96,100.0,5,99.984 ± 0.0219
EfficientNetB0,99.99199999999999,0.017888543820004887,99.96,100.0,5,99.992 ± 0.0179
MobileNetV2,99.666,0.06308724118235015,99.57,99.72,5,99.666 ± 0.0631
NASNetMobile,99.72200000000001,0.08613942186942994,99.61,99.84,5,99.722 ± 0.0861
ResNet50,99.98400000000001,0.035777087639990116,99.92,100.0,5,99.984 ± 0.0358
VGG19,99.904,0.021908902300207044,99.88,99.92,5,99.904 ± 0.0219
