Architecture,mean,std,min,max,count,mean ± std
ConvNeXtBase,99.92,0.0,99.92,99.92,5,99.92 ± 0.0
DenseNet169,99.968,0.04381780460040922,99.92,100.0,5,99.968 ± 0.0438
EfficientNetB0,99.98400000000001,0.035777087639990116,99.92,100.0,5,99.984 ± 0.0358
MobileNetV2,99.35,0.12999999999999767,99.15,99.46,5,99.35 ± 0.13
NASNetMobile,99.46000000000001,0.17219175357722363,99.23,99.69,5,99.46 ± 0.1722
ResNet50,99.97,0.06708203932499418,99.85,100.0,5,99.97 ± 0.0671
VGG19,99.818,0.04381780460040868,99.77,99.85,5,99.818 ± 0.0438
