group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,0.08,0.9051,-0.1399,0.2999,False
ConvNeXtBase,EfficientNetB0,0.064,0.9655,-0.1559,0.2839,False
ConvNeXtBase,MobileNetV2,-0.194,0.1112,-0.4139,0.0259,False
ConvNeXtBase,NASNetMobile,-0.224,0.0437,-0.4439,-0.0041,True
ConvNeXtBase,ResNet50,0.05,0.9901,-0.1699,0.2699,False
ConvNeXtBase,VGG19,-0.07,0.9475,-0.2899,0.1499,False
DenseNet169,EfficientNetB0,-0.016,1.0,-0.2359,0.2039,False
DenseNet169,MobileNetV2,-0.274,0.0077,-0.4939,-0.0541,True
DenseNet169,NASNetMobile,-0.304,0.0025,-0.5239,-0.0841,True
DenseNet169,ResNet50,-0.03,0.9994,-0.2499,0.1899,False
DenseNet169,VGG19,-0.15,0.3457,-0.3699,0.0699,False
EfficientNetB0,MobileNetV2,-0.258,0.0136,-0.4779,-0.0381,True
EfficientNetB0,NASNetMobile,-0.288,0.0046,-0.5079,-0.0681,True
EfficientNetB0,ResNet50,-0.014,1.0,-0.2339,0.2059,False
EfficientNetB0,VGG19,-0.134,0.4766,-0.3539,0.0859,False
MobileNetV2,NASNetMobile,-0.03,0.9994,-0.2499,0.1899,False
MobileNetV2,ResNet50,0.244,0.0223,0.0241,0.4639,True
MobileNetV2,VGG19,0.124,0.5659,-0.0959,0.3439,False
NASNetMobile,ResNet50,0.274,0.0077,0.0541,0.4939,True
NASNetMobile,VGG19,0.154,0.3163,-0.0659,0.3739,False
ResNet50,VGG19,-0.12,0.6021,-0.3399,0.0999,False
