group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,0.048,0.9774,-0.1317,0.2277,False
ConvNeXtBase,EfficientNetB0,0.064,0.9134,-0.1157,0.2437,False
ConvNeXtBase,MobileNetV2,-0.57,0.0,-0.7497,-0.3903,True
ConvNeXtBase,NASNetMobile,-0.46,0.0,-0.6397,-0.2803,True
ConvNeXtBase,ResNet50,0.05,0.9723,-0.1297,0.2297,False
ConvNeXtBase,VGG19,-0.102,0.5586,-0.2817,0.0777,False
DenseNet169,EfficientNetB0,0.016,1.0,-0.1637,0.1957,False
DenseNet169,MobileNetV2,-0.618,0.0,-0.7977,-0.4383,True
DenseNet169,NASNetMobile,-0.508,0.0,-0.6877,-0.3283,True
DenseNet169,ResNet50,0.002,1.0,-0.1777,0.1817,False
DenseNet169,VGG19,-0.15,0.15,-0.3297,0.0297,False
EfficientNetB0,MobileNetV2,-0.634,0.0,-0.8137,-0.4543,True
EfficientNetB0,NASNetMobile,-0.524,0.0,-0.7037,-0.3443,True
EfficientNetB0,ResNet50,-0.014,1.0,-0.1937,0.1657,False
EfficientNetB0,VGG19,-0.166,0.0847,-0.3457,0.0137,False
MobileNetV2,NASNetMobile,0.11,0.4715,-0.0697,0.2897,False
MobileNetV2,ResNet50,0.62,0.0,0.4403,0.7997,True
MobileNetV2,VGG19,0.468,0.0,0.2883,0.6477,True
NASNetMobile,ResNet50,0.51,0.0,0.3303,0.6897,True
NASNetMobile,VGG19,0.358,0.0,0.1783,0.5377,True
ResNet50,VGG19,-0.152,0.14,-0.3317,0.0277,False
