Architecture,mean,std,min,max,count,mean ± std
ConvNeXtBase,99.96,0.0,99.96,99.96,5,99.96 ± 0.0
DenseNet169,99.984,0.021908902300213206,99.96,100.0,5,99.984 ± 0.0219
EfficientNetB0,99.99199999999999,0.017888543820004887,99.96,100.0,5,99.992 ± 0.0179
MobileNetV2,99.684,0.07334848328356917,99.58,99.77,5,99.684 ± 0.0733
NASNetMobile,99.72999999999999,0.08514693182962486,99.62,99.85,5,99.73 ± 0.0851
ResNet50,99.98400000000001,0.035777087639990116,99.92,100.0,5,99.984 ± 0.0358
VGG19,99.904,0.021908902300207044,99.88,99.92,5,99.904 ± 0.0219
