group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,0.08,0.9199,-0.1488,0.3088,False
ConvNeXtBase,EfficientNetB0,0.064,0.9715,-0.1648,0.2928,False
ConvNeXtBase,MobileNetV2,-0.206,0.0988,-0.4348,0.0228,False
ConvNeXtBase,NASNetMobile,-0.236,0.0398,-0.4648,-0.0072,True
ConvNeXtBase,ResNet50,0.048,0.9935,-0.1808,0.2768,False
ConvNeXtBase,VGG19,-0.08,0.9199,-0.3088,0.1488,False
DenseNet169,EfficientNetB0,-0.016,1.0,-0.2448,0.2128,False
DenseNet169,MobileNetV2,-0.286,0.0074,-0.5148,-0.0572,True
DenseNet169,NASNetMobile,-0.316,0.0025,-0.5448,-0.0872,True
DenseNet169,ResNet50,-0.032,0.9993,-0.2608,0.1968,False
DenseNet169,VGG19,-0.16,0.3178,-0.3888,0.0688,False
EfficientNetB0,MobileNetV2,-0.27,0.0129,-0.4988,-0.0412,True
EfficientNetB0,NASNetMobile,-0.3,0.0045,-0.5288,-0.0712,True
EfficientNetB0,ResNet50,-0.016,1.0,-0.2448,0.2128,False
EfficientNetB0,VGG19,-0.144,0.4386,-0.3728,0.0848,False
MobileNetV2,NASNetMobile,-0.03,0.9995,-0.2588,0.1988,False
MobileNetV2,ResNet50,0.254,0.0222,0.0252,0.4828,True
MobileNetV2,VGG19,0.126,0.592,-0.1028,0.3548,False
NASNetMobile,ResNet50,0.284,0.008,0.0552,0.5128,True
NASNetMobile,VGG19,0.156,0.3461,-0.0728,0.3848,False
ResNet50,VGG19,-0.128,0.5746,-0.3568,0.1008,False
